sample_id,assembler,FN,TN,TP,FP,accuracy,F1_score
SAMEA2466887,Hybrid (hybridspades),216,1187,51,0,0.8514442916093535,0.320754716981132
SAMEA2466887,LR (metaflye),243,1187,24,0,0.8328748280605227,0.1649484536082474
SAMEA2466887,SR (megahit),190,1187,77,0,0.8693259972489684,0.4476744186046512
SAMEA2466913,Hybrid (hybridspades),212,1184,58,0,0.8541953232462174,0.3536585365853658
SAMEA2466913,LR (metaflye),238,1184,32,0,0.8363136176066025,0.2119205298013245
SAMEA2466913,SR (megahit),189,1184,81,0,0.8700137551581844,0.4615384615384615
SAMEA2466915,Hybrid (hybridspades),179,1238,37,0,0.8768913342503438,0.2924901185770751
SAMEA2466915,LR (metaflye),194,1238,22,0,0.8665749656121046,0.1848739495798319
SAMEA2466915,SR (megahit),152,1238,64,0,0.8954607977991746,0.4571428571428571
SAMEA2466923,Hybrid (hybridspades),86,1336,32,0,0.9408528198074276,0.4266666666666667
SAMEA2466923,LR (metaflye),101,1336,17,0,0.9305364511691884,0.2518518518518518
SAMEA2466923,SR (megahit),78,1336,40,0,0.9463548830811556,0.5063291139240507
SAMEA2466930,Hybrid (hybridspades),232,1169,53,0,0.8404401650618982,0.3136094674556213
SAMEA2466930,LR (metaflye),280,1169,5,0,0.8074277854195323,0.0344827586206896
SAMEA2466930,SR (megahit),197,1169,88,0,0.8645116918844566,0.4718498659517426
SAMEA2466959,Hybrid (hybridspades),263,1144,47,0,0.8191196698762035,0.2633053221288515
SAMEA2466959,LR (metaflye),287,1144,23,0,0.8026134800550206,0.1381381381381381
SAMEA2466959,SR (megahit),234,1144,76,0,0.8390646492434664,0.3937823834196891
SAMEA2466965,Hybrid (hybridspades),171,1222,61,0,0.8823933975240715,0.4163822525597269
SAMEA2466965,LR (metaflye),229,1221,3,1,0.8418156808803301,0.0254237288135593
SAMEA2466965,SR (megahit),137,1222,95,0,0.905777166437414,0.581039755351682
SAMEA2466974,Hybrid (hybridspades),229,1168,57,0,0.842503438789546,0.3323615160349854
SAMEA2466974,LR (metaflye),266,1168,20,0,0.8170563961485557,0.130718954248366
SAMEA2466974,SR (megahit),204,1168,82,0,0.859697386519945,0.4456521739130434
SAMEA2466977,Hybrid (hybridspades),202,1200,51,1,0.8603851444291609,0.3344262295081967
SAMEA2466977,LR (metaflye),231,1201,22,0,0.8411279229711142,0.16
SAMEA2466977,SR (megahit),168,1201,85,0,0.8844566712517193,0.5029585798816568
SAMEA2466984,Hybrid (hybridspades),272,1113,69,0,0.81292984869326,0.3365853658536585
SAMEA2466984,LR (metaflye),313,1113,28,0,0.7847317744154058,0.1517615176151761
SAMEA2466984,SR (megahit),238,1113,103,0,0.8363136176066025,0.4639639639639639
SAMEA2467013,Hybrid (hybridspades),221,1182,51,0,0.8480055020632737,0.3157894736842105
SAMEA2467013,LR (metaflye),249,1182,23,0,0.828748280605227,0.1559322033898305
SAMEA2467013,SR (megahit),187,1182,85,0,0.8713892709766162,0.4761904761904761
SAMEA2467016,Hybrid (hybridspades),196,1202,56,0,0.8651994497936726,0.3636363636363636
SAMEA2467016,LR (metaflye),227,1202,25,0,0.843878954607978,0.1805054151624548
SAMEA2467016,SR (megahit),166,1202,86,0,0.8858321870701513,0.5088757396449705
SAMEA2467017,Hybrid (hybridspades),204,1182,68,0,0.859697386519945,0.4
SAMEA2467017,LR (metaflye),246,1182,26,0,0.8308115543328748,0.174496644295302
SAMEA2467017,SR (megahit),179,1182,93,0,0.8768913342503438,0.5095890410958904
SAMEA2467020,Hybrid (hybridspades),255,1127,72,0,0.8246217331499313,0.3609022556390977
SAMEA2467020,LR (metaflye),302,1127,25,0,0.7922971114167813,0.1420454545454545
SAMEA2467020,SR (megahit),217,1127,110,0,0.8507565337001376,0.5034324942791762
SAMEA2467021,Hybrid (hybridspades),235,1160,59,0,0.8383768913342503,0.3342776203966006
SAMEA2467021,LR (metaflye),267,1160,27,0,0.8163686382393398,0.1682242990654205
SAMEA2467021,SR (megahit),205,1160,89,0,0.859009628610729,0.464751958224543
SAMEA2467029,Hybrid (hybridspades),291,1100,63,0,0.7998624484181568,0.302158273381295
SAMEA2467029,LR (metaflye),328,1100,26,0,0.7744154057771664,0.1368421052631579
SAMEA2467029,SR (megahit),259,1100,95,0,0.8218707015130674,0.4231625835189309
SAMEA2467031,Hybrid (hybridspades),244,1150,60,0,0.8321870701513068,0.3296703296703296
SAMEA2467031,LR (metaflye),272,1149,32,1,0.812242090784044,0.1899109792284866
SAMEA2467031,SR (megahit),204,1150,100,0,0.859697386519945,0.495049504950495
