sample,assembly,Name,Completeness,Contamination,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size,GC_Content,Total_Contigs,Max_Contig_Length
SAMEA2466887,Hybrid (hybridspades),SemiBin_0.fa,99.96,14.77,0.91,3142410,384.1338565022422,5643682,0.46,6,3142410
SAMEA2466887,Hybrid (hybridspades),SemiBin_1.fa,97.96,44.43,0.923,2302802,329.4415512465374,3858727,0.41,2,2302802
SAMEA2466887,Hybrid (hybridspades),SemiBin_10.fa,95.15,21.4,0.898,975287,304.4215755855216,1430228,0.25,7,975287
SAMEA2466887,Hybrid (hybridspades),SemiBin_101.fa,9.63,0.09,0.892,30110,364.517094017094,286170,0.43,10,59622
SAMEA2466887,Hybrid (hybridspades),SemiBin_102.fa,13.22,1.39,0.728,16555,148.9222707423581,696706,0.35,68,59596
SAMEA2466887,Hybrid (hybridspades),SemiBin_104.fa,9.74,0.02,0.848,16169,296.9205607476636,224336,0.36,17,58799
SAMEA2466887,Hybrid (hybridspades),SemiBin_106.fa,71.52,1.96,0.876,16097,248.8473684210526,1935022,0.45,191,57250
SAMEA2466887,Hybrid (hybridspades),SemiBin_107.fa,24.17,0.93,0.868,29090,263.8642149929279,642398,0.41,26,56826
SAMEA2466887,Hybrid (hybridspades),SemiBin_109.fa,60.23,2.53,0.788,15111,212.8055964653903,1641355,0.47,165,53904
SAMEA2466887,Hybrid (hybridspades),SemiBin_11.fa,86.8,1.35,0.904,1595178,317.2538167938931,1651486,0.3,2,1595178
SAMEA2466887,Hybrid (hybridspades),SemiBin_110.fa,59.87,1.61,0.843,12019,244.9532085561497,1948124,0.36,225,53899
SAMEA2466887,Hybrid (hybridspades),SemiBin_111.fa,12.51,0.52,0.803,7681,185.433304272014,787141,0.46,113,53284
SAMEA2466887,Hybrid (hybridspades),SemiBin_112.fa,10.46,0.05,0.738,15580,150.3080260303688,558673,0.43,61,53163
SAMEA2466887,Hybrid (hybridspades),SemiBin_115.fa,69.22,15.97,0.842,9334,217.5285899935023,2373385,0.41,309,47989
SAMEA2466887,Hybrid (hybridspades),SemiBin_116.fa,47.16,4.67,0.8,14287,177.7803780378038,1473228,0.29,177,47104
SAMEA2466887,Hybrid (hybridspades),SemiBin_117.fa,28.38,2.32,0.894,14355,321.5581947743468,2264254,0.43,179,47014
SAMEA2466887,Hybrid (hybridspades),SemiBin_118.fa,46.79,3.34,0.876,12303,260.9771771771772,1481865,0.42,153,46949
SAMEA2466887,Hybrid (hybridspades),SemiBin_12.fa,100.0,0.22,0.879,1144102,354.2716103554191,2751294,0.55,4,1374335
SAMEA2466887,Hybrid (hybridspades),SemiBin_121.fa,21.29,5.2,0.868,11731,277.5082048731974,1920583,0.39,180,44837
SAMEA2466887,Hybrid (hybridspades),SemiBin_123.fa,59.3,2.58,0.872,9253,243.9422478898268,1878569,0.49,258,42824
SAMEA2466887,Hybrid (hybridspades),SemiBin_125.fa,27.85,1.69,0.856,10525,238.0148354195642,1788738,0.42,198,41960
SAMEA2466887,Hybrid (hybridspades),SemiBin_127.fa,39.29,0.67,0.847,7990,225.3745487364621,881045,0.53,146,41225
SAMEA2466887,Hybrid (hybridspades),SemiBin_128.fa,9.16,0.18,0.858,13577,231.6646942800789,408699,0.47,43,41177
SAMEA2466887,Hybrid (hybridspades),SemiBin_13.fa,66.82,0.22,0.875,1368720,328.2470144563168,1787095,0.41,5,1368720
SAMEA2466887,Hybrid (hybridspades),SemiBin_131.fa,70.64,2.13,0.834,10168,236.8345572354212,1962929,0.49,256,39353
SAMEA2466887,Hybrid (hybridspades),SemiBin_136.fa,30.72,0.53,0.723,9450,158.5390230207748,1163634,0.45,157,37290
SAMEA2466887,Hybrid (hybridspades),SemiBin_138.fa,24.96,1.47,0.748,14423,150.826842837274,861136,0.42,83,35613
SAMEA2466887,Hybrid (hybridspades),SemiBin_139.fa,62.22,16.32,0.76,7421,199.6239281339323,3849246,0.28,601,35447
SAMEA2466887,Hybrid (hybridspades),SemiBin_14.fa,100.0,1.73,0.891,1331489,288.2610909090909,1331489,0.28,1,1331489
SAMEA2466887,Hybrid (hybridspades),SemiBin_140.fa,23.13,1.11,0.801,8409,193.149885583524,1257169,0.35,176,34812
SAMEA2466887,Hybrid (hybridspades),SemiBin_144.fa,35.25,0.68,0.785,12300,172.3601789709172,1168112,0.46,121,33570
SAMEA2466887,Hybrid (hybridspades),SemiBin_147.fa,9.63,3.93,0.817,15960,241.2066420664207,477882,0.39,38,33020
SAMEA2466887,Hybrid (hybridspades),SemiBin_149.fa,18.3,0.13,0.779,8924,166.3723640399556,1147349,0.42,167,32900
SAMEA2466887,Hybrid (hybridspades),SemiBin_15.fa,70.74,0.14,0.88,866038,291.2290950744559,866038,0.27,1,866038
SAMEA2466887,Hybrid (hybridspades),SemiBin_150.fa,23.7,1.65,0.744,9221,147.296817625459,956234,0.44,129,32801
