sample,total_sequencing_size,total_reads,strategy,assembly,assembly_num_seqs,assembly_sum_len,assembly_min_len,assembly_avg_len,assembly_max_len,msp_count,gene_count,N50,L50,NA50,auNA,LA50,(N50-NA50)/N50,(L50-LA50)/L50
SAMEA2466887,10000002639,34471237,Hybrid,Hybrid (hybridspades),29723,258079706,1000,8682.8,3142410,237,455888,34473,950,23658,113981.9,1902,0.3137237838308241,-1.002105263157895
SAMEA2466887,10000000742,2276233,LR,LR (metaflye),2197,104085011,1357,47376.0,1719492,237,455888,81844,255,80818,246969.5,261,0.0125360441816138,-0.0235294117647058
SAMEA2466887,10000000200,66666668,SR,SR (megahit),44027,282121615,1000,6407.9,1360940,237,455888,29519,1434,19834,61604.5,2498,0.3280937701141637,-0.7419804741980475
SAMEA2466913,10000003054,34471346,Hybrid,Hybrid (hybridspades),28772,304432423,1000,10580.9,1773887,225,533277,47920,1022,33417,114607.1,1647,0.3026502504173622,-0.6115459882583171
SAMEA2466913,10000001069,2276950,LR,LR (metaflye),2715,136504545,1006,50277.9,1719496,225,533277,89054,312,85365,214572.1,333,0.0414243043546612,-0.0673076923076923
SAMEA2466913,10000000200,66666668,SR,SR (megahit),48990,316987776,1000,6470.5,1422402,225,533277,40080,1459,28627,65194.3,2111,0.285753493013972,-0.4468814256339959
SAMEA2466915,10000001490,34472174,Hybrid,Hybrid (hybridspades),29295,235098286,1000,8025.2,2608493,167,344594,32899,895,20707,109065.7,1966,0.3705887716951883,-1.196648044692737
SAMEA2466915,10000002425,2280833,LR,LR (metaflye),2281,87174560,1111,38217.7,2943214,167,344594,60775,279,59045,267877.2,285,0.0284656519950637,-0.021505376344086
SAMEA2466915,10000000200,66666668,SR,SR (megahit),52092,259640360,1000,4984.3,1570449,167,344594,19753,1452,12551,61861.5,2938,0.3646028451374474,-1.023415977961432
SAMEA2466923,10000001142,34471899,Hybrid,Hybrid (hybridspades),12044,146363331,1000,12152.4,2452374,98,267264,78544,295,59878,203425.3,419,0.2376502342635974,-0.4203389830508474
