sample,assembly,genome,NGA50,LGA50
SAMEA2466887,Hybrid (hybridspades),MGYG000000002,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000003,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000022,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000028,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000029,3055.0,316.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000031,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000033,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000037,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000038,9856.0,76.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000041,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000044,967.0,824.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000045,2967.0,154.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000050,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000060,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000062,5109.0,160.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000074,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000087,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000105,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000136,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000139,896.0,460.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000140,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000141,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000142,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000144,20303.0,39.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000146,2588.0,263.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000149,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000154,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000169,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000171,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000185,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000187,50167.0,18.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000189,536143.0,3.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000190,259704.0,4.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000193,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000203,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000205,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000206,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000208,63834.0,14.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000209,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000212,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000217,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000226,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000229,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000233,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000242,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000243,110859.0,12.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000249,4587.0,146.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000250,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000251,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000252,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000254,24559.0,54.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000255,4924.0,158.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000258,1592818.0,1.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000259,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000262,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000263,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000269,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000271,43770.0,31.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000278,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000280,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000332,135597.0,4.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000359,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000365,48735.0,9.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000367,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000369,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000370,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000378,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000386,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000404,2031.0,139.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000405,114674.0,7.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000417,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000420,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000427,19460.0,31.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000431,259234.0,2.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000446,5570.0,57.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000449,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000457,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000476,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000484,179014.0,5.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000530,17224.0,36.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000540,24037.0,15.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000562,10641.0,73.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000646,184958.0,3.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000651,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000668,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000714,14088.0,28.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000730,121585.0,7.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000741,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000743,,
SAMEA2466887,Hybrid (hybridspades),MGYG000000784,61339.0,9.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000791,17472.0,26.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000956,1287046.0,1.0
SAMEA2466887,Hybrid (hybridspades),MGYG000000980,22799.0,23.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001007,2468.0,266.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001029,95590.0,9.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001057,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001151,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001178,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001182,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001191,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001292,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001294,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001300,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001302.1,111541.0,8.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001310,38481.0,24.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001315,15553.0,56.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001319,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001321,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001331,1396.0,196.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001338,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001345,26301.0,63.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001346,581940.0,4.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001359,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001375,184299.0,5.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001378,1142.0,891.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001391,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001423,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001433,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001455.1,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001456.1,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001490,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001512,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001529,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001565,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001627,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001637,11650.0,61.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001652,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001672,55119.0,9.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001714,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001764,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001835,65635.0,15.0
SAMEA2466887,Hybrid (hybridspades),MGYG000001919,,
SAMEA2466887,Hybrid (hybridspades),MGYG000001946,81744.0,4.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002014,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002021,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002029,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002057,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002105,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002163,1717392.0,1.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002175,104777.0,4.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002272,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002274,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002279,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002281,7826.0,212.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002287,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002292,35924.0,24.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002304,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002312,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002321,5687.0,102.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002438,19673.0,71.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002445,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002454,1144102.0,2.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002455,209111.0,12.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002478,3168.0,381.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002492,327394.0,3.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002506,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002517,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002528,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002530,1594.0,275.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002540,63903.0,20.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002545,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002549,2323.0,521.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002563,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002580,8787.0,88.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002609,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002622,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002633,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002681,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002684,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002689,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002698,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002715,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002720,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002773,44646.0,13.0
SAMEA2466887,Hybrid (hybridspades),MGYG000002776,,
SAMEA2466887,Hybrid (hybridspades),MGYG000002831,25883.0,20.0
SAMEA2466887,Hybrid (hybridspades),MGYG000003022,,
SAMEA2466887,Hybrid (hybridspades),MGYG000003077,1106.0,282.0
