assembly,mag,reference,Ref_name,ANI,Align_fraction_ref,Align_fraction_query,recovered
Hybrid (hybridspades),SemiBin_0_10,MGYG000000989,MGYG000000989_1,99.99,77.36,98.5,True
Hybrid (hybridspades),SemiBin_0_11,MGYG000000319,MGYG000000319_1,99.98,99.83,99.82,True
Hybrid (hybridspades),SemiBin_0_17,MGYG000002396,MGYG000002396_1,100.0,100.0,100.0,True
Hybrid (hybridspades),SemiBin_0_18,MGYG000002395,MGYG000002395_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_0_19,MGYG000003017,MGYG000003017_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_0_20,MGYG000000631,MGYG000000631_1,99.99,87.26,99.88,True
Hybrid (hybridspades),SemiBin_0_22,MGYG000000722,MGYG000000722_1,99.99,77.56,90.22,True
Hybrid (hybridspades),SemiBin_0_24,MGYG000002293,MGYG000002293_1,99.99,98.95,96.9,True
Hybrid (hybridspades),SemiBin_0_28,MGYG000004256,MGYG000004256_1,100.0,100.0,100.0,True
Hybrid (hybridspades),SemiBin_0_32,MGYG000000886,MGYG000000886_1,100.0,88.46,100.0,True
Hybrid (hybridspades),SemiBin_0_35,MGYG000001738,MGYG000001738_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_0_4,MGYG000000203,MGYG000000203_1,99.99,94.12,100.0,True
Hybrid (hybridspades),SemiBin_0_42,MGYG000000606,MGYG000000606_1,99.99,83.71,99.91,True
Hybrid (hybridspades),SemiBin_0_43,MGYG000003874,MGYG000003874_1,99.99,91.55,100.0,True
Hybrid (hybridspades),SemiBin_0_45,MGYG000001490,MGYG000001490_1,100.0,100.0,100.0,True
Hybrid (hybridspades),SemiBin_0_46,MGYG000002454,MGYG000002454_1,100.0,99.73,99.66,True
Hybrid (hybridspades),SemiBin_0_47,MGYG000002191,MGYG000002191_1,99.99,99.84,99.84,True
Hybrid (hybridspades),SemiBin_0_7,MGYG000004573,MGYG000004573_1,99.99,100.0,100.0,True
Hybrid (hybridspades),SemiBin_100_20,MGYG000002297,MGYG000002297_1,99.87,81.2,92.1,True
Hybrid (hybridspades),SemiBin_100_25,MGYG000006745,MGYG000006745.fa_1,99.37,74.31,89.9,True
Hybrid (hybridspades),SemiBin_100_29,MGYG000002290,MGYG000002290_1,99.89,69.85,92.8,True
